TAHUN,PENERIMA MANFAAT (HB),FS1,PR1,HA2,Karakter Puskesmas,ALOKASI BELANJA (RP),REALISASI BELANJA (RP)
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.2 Pertemuan koordinasi,Terpencil,2112449251,1393470700
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.3 Peningkatan Kapasitas Personil,Perdesaan,1545119141,1068137316
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.3 Peningkatan Kapasitas Personil,Terpencil,81036390,68637862
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.4 Penyusunan regulasi kesehatan,Terpencil,629454593,536408041
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,"HA.1.6 Monitoring, Evaluasi dan Pelaporan",Perdesaan,3273389947,2340154181
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,"HA.1.6 Monitoring, Evaluasi dan Pelaporan",Perkotaan,378454226,205703171
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.8 Pengadaan alat dan bahan Medis dan Non Medis,Perdesaan,5574918331,4070279526
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.8 Pengadaan alat dan bahan Medis dan Non Medis,Perkotaan,1681923486,1300813000
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.8 Pengadaan alat dan bahan Medis dan Non Medis,Sangat Terpencil,266845631,145815513
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.8 Pengadaan alat dan bahan Medis dan Non Medis,Terpencil,173116876,121136091
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.9 Penelitian dan Pengembangan Kesehatan,Perdesaan,612715043,537122746
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.9 Penelitian dan Pengembangan Kesehatan,Perkotaan,210152348,136018133
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.9 Penelitian dan Pengembangan Kesehatan,Terpencil,187506099,187401009
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Perdesaan,156574393155,118626064007
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Perkotaan,34002235212,26160069117
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Sangat Terpencil,1883963142,1130811993
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Terpencil,35165713736,26854978885
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.2 Kegiatan Upaya Kesehatan Perorangan,Perdesaan,9347969915,6872405471
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.2 Kegiatan Upaya Kesehatan Perorangan,Perkotaan,1869300953,1522681438
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.2 Kegiatan Upaya Kesehatan Perorangan,Terpencil,6005302389,4576951295
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.1.2 Pertemuan koordinasi,Perdesaan,1147764504,960844255
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Perdesaan,794236855,506217697
2022.0,HB.2 1 - 5 tahun (balita),FS.2 Dana Semi Publik,PR.1 Program Kesehatan Masyarakat,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Perdesaan,324861381,204392648
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.1 Manajerial institusi,Perdesaan,409022033,218966432
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.2 Pertemuan koordinasi,Perdesaan,724323251,594470263
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.2 Pertemuan koordinasi,Perkotaan,416468043,344432765
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.2 Pertemuan koordinasi,Terpencil,126626344,63321336
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.3 Peningkatan Kapasitas Personil,Perdesaan,1973814397,1462210522
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.3 Peningkatan Kapasitas Personil,Perkotaan,375098013,254080546
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.3 Peningkatan Kapasitas Personil,Terpencil,520756226,340928826
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,"HA.1.6 Monitoring, Evaluasi dan Pelaporan",Perkotaan,377453599,306189035
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.8 Pengadaan alat dan bahan Medis dan Non Medis,Perdesaan,1702262779,1154082522
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.8 Pengadaan alat dan bahan Medis dan Non Medis,Perkotaan,460266062,234541750
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.9 Penelitian dan Pengembangan Kesehatan,Perdesaan,74802593,42380289
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.9 Penelitian dan Pengembangan Kesehatan,Terpencil,668585966,607362252
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Perdesaan,91969345892,69011403322
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Perkotaan,21711095540,16382362985
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Sangat Terpencil,3400782205,2541239048
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Terpencil,13304456564,10669865725
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.2 Kegiatan Upaya Kesehatan Perorangan,Perdesaan,10322526284,7365267409
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.2 Kegiatan Upaya Kesehatan Perorangan,Perkotaan,90465335,87236396
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.2 Kegiatan Upaya Kesehatan Perorangan,Sangat Terpencil,1741943799,1364291148
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.2 Kegiatan Upaya Kesehatan Perorangan,Terpencil,4646870723,3244194978
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.1.2 Pertemuan koordinasi,Perdesaan,799171269,675503713
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.1.2 Pertemuan koordinasi,Perkotaan,836550914,553083054
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.1.3 Peningkatan Kapasitas Personil,Perdesaan,1728925333,1133573079
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.1.9 Penelitian dan Pengembangan Kesehatan,Perdesaan,1144105456,788221156
2022.0,HB.3 6 - 12 tahun (anak sekolah),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Perdesaan,2022037522,1266827153
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.2 Pertemuan koordinasi,Perdesaan,19568840702,14786563661
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.2 Pertemuan koordinasi,Perkotaan,3050442422,2143551873
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.2 Pertemuan koordinasi,Sangat Terpencil,234870458,180784662
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.2 Pertemuan koordinasi,Terpencil,1563819798,1132981379
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.3 Peningkatan Kapasitas Personil,Perdesaan,15560903732,12053047625
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.3 Peningkatan Kapasitas Personil,Perkotaan,5067352839,3554631664
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.3 Peningkatan Kapasitas Personil,Sangat Terpencil,174343234,118368783
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.3 Peningkatan Kapasitas Personil,Terpencil,5119725771,3678578254
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,"HA.1.6 Monitoring, Evaluasi dan Pelaporan",Perdesaan,2396467875,1548175391
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,"HA.1.6 Monitoring, Evaluasi dan Pelaporan",Perkotaan,283431932,256424143
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,"HA.1.6 Monitoring, Evaluasi dan Pelaporan",Terpencil,1676398169,1014817810
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.8 Pengadaan alat dan bahan Medis dan Non Medis,Perdesaan,905013468,621737839
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.9 Penelitian dan Pengembangan Kesehatan,Perdesaan,2571013991,1858970544
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.9 Penelitian dan Pengembangan Kesehatan,Perkotaan,68448023,47337391
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.9 Penelitian dan Pengembangan Kesehatan,Sangat Terpencil,1914155295,1501591710
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.9 Penelitian dan Pengembangan Kesehatan,Terpencil,1379925110,1147085439
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Perdesaan,82739526257,62369376110
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Perkotaan,17148356301,13178373301
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Sangat Terpencil,2401332873,1903177206
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Terpencil,19125670335,14499609533
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.2 Kegiatan Upaya Kesehatan Perorangan,Perdesaan,985541312,764336458
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.2 Kegiatan Upaya Kesehatan Perorangan,Terpencil,394465045,277662939
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.1.2 Pertemuan koordinasi,Terpencil,727081591,403221291
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.1.3 Peningkatan Kapasitas Personil,Perdesaan,215251675,169157976
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,"HA.1.6 Monitoring, Evaluasi dan Pelaporan",Perdesaan,812336718,543807648
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Perdesaan,1867308393,1362357886
2022.0,HB.4 13 - 18 tahun (remaja),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Terpencil,2104235182,1707658202
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.1 Manajerial institusi,Perdesaan,2031669283,1482222338
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.1 Manajerial institusi,Terpencil,424767031,297971745
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.2 Pertemuan koordinasi,Perdesaan,59391167355,44941671727
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.2 Pertemuan koordinasi,Perkotaan,18111137557,13606642766
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.2 Pertemuan koordinasi,Sangat Terpencil,930049245,765590925
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.2 Pertemuan koordinasi,Terpencil,19066907654,13676586156
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.3 Peningkatan Kapasitas Personil,Perdesaan,85609898771,64326770161
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.3 Peningkatan Kapasitas Personil,Perkotaan,20513806607,15358050281
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.3 Peningkatan Kapasitas Personil,Sangat Terpencil,3266008338,2267585210
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.3 Peningkatan Kapasitas Personil,Terpencil,13932410606,10621738299
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,"HA.1.6 Monitoring, Evaluasi dan Pelaporan",Perdesaan,10604156135,8060346197
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,"HA.1.6 Monitoring, Evaluasi dan Pelaporan",Perkotaan,4494851525,3316828474
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,"HA.1.6 Monitoring, Evaluasi dan Pelaporan",Sangat Terpencil,841736473,637615211
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,"HA.1.6 Monitoring, Evaluasi dan Pelaporan",Terpencil,4005342316,3033258543
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.8 Pengadaan alat dan bahan Medis dan Non Medis,Perdesaan,5087318566,3626833551
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.8 Pengadaan alat dan bahan Medis dan Non Medis,Perkotaan,1685721438,1362465846
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.8 Pengadaan alat dan bahan Medis dan Non Medis,Sangat Terpencil,315609491,174786676
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.9 Penelitian dan Pengembangan Kesehatan,Perdesaan,12189529866,9314532344
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.9 Penelitian dan Pengembangan Kesehatan,Perkotaan,5072993726,3860295804
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.9 Penelitian dan Pengembangan Kesehatan,Sangat Terpencil,156646434,99887580
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.9 Penelitian dan Pengembangan Kesehatan,Terpencil,1754761263,1440702035
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Perdesaan,365430493894,273275582311
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Perkotaan,99799568878,73802056771
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Sangat Terpencil,12658593903,9849346584
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Terpencil,89477441338,66979099229
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.2 Kegiatan Upaya Kesehatan Perorangan,Perdesaan,9698062204,7191014098
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.2 Kegiatan Upaya Kesehatan Perorangan,Perkotaan,1492538399,931530250
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.2 Kegiatan Upaya Kesehatan Perorangan,Sangat Terpencil,1163072273,953944867
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.2 Kegiatan Upaya Kesehatan Perorangan,Terpencil,1724749676,1295685342
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.2 Program Kesehatan Individu,HA.1.1 Manajerial institusi,Perdesaan,1810375267,1390371948
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.2 Program Kesehatan Individu,HA.2.2 Kegiatan Upaya Kesehatan Perorangan,Perdesaan,675006839,544407773
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.2 Program Kesehatan Individu,HA.2.2 Kegiatan Upaya Kesehatan Perorangan,Perkotaan,373778058,240663885
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.1.1 Manajerial institusi,Perdesaan,31428536448,22869004198
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.1.1 Manajerial institusi,Perkotaan,5488841138,3615250664
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.1.1 Manajerial institusi,Sangat Terpencil,1928493892,1643779513
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.1.1 Manajerial institusi,Terpencil,5136833354,3726708907
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.1.2 Pertemuan koordinasi,Perdesaan,52391380437,39511549337
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.1.2 Pertemuan koordinasi,Perkotaan,15720498336,12226414838
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.1.2 Pertemuan koordinasi,Sangat Terpencil,756453443,535517712
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.1.2 Pertemuan koordinasi,Terpencil,14644841519,11076891975
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.1.3 Peningkatan Kapasitas Personil,Perdesaan,26946328268,20197237561
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.1.3 Peningkatan Kapasitas Personil,Perkotaan,8142970739,6084381424
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.1.3 Peningkatan Kapasitas Personil,Sangat Terpencil,376876496,241990413
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.1.3 Peningkatan Kapasitas Personil,Terpencil,5303777956,3818011393
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.1.5 Perencanaan dan Penganggaran Program,Perdesaan,38384889202,28662642999
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.1.5 Perencanaan dan Penganggaran Program,Perkotaan,8191675071,6113439859
2022.0,HB.5 15 - 59 tahun (usia produktif),FS.1 Dana Publik,PR.3  Program Penguatan Sistem Kesehatan,HA.1.5 Perencanaan dan Penganggaran Program,Sangat Terpencil,1763794131,1309418604
